ppq,val
0.0,0
384.0,7944
768.0,9471
1152.0,10423
1536.0,11116
1920.0,11657
2304.0,12099
2688.0,12470
3072.0,12787
3456.0,13064
3840.0,13308
4224.0,13525
4608.0,13720
4992.0,13895
5376.0,14055
5760.0,14201
6144.0,14335
6528.0,14457
6912.0,14571
7296.0,14676
7680.0,14773
8064.0,14864
8448.0,14948
8832.0,15027
9216.0,15101
9600.0,15170
9984.0,15235
10368.0,15296
10752.0,15354
11136.0,15408
11520.0,15459
11904.0,15507
12288.0,15552
12672.0,15595
13056.0,15636
13440.0,15674
13824.0,15711
14208.0,15745
14592.0,15778
14976.0,15809
15360.0,15839
15744.0,15867
16128.0,15893
16512.0,15918
16896.0,15942
17280.0,15965
17664.0,15987
18048.0,16007
18432.0,16027
18816.0,16046
19200.0,16064
19584.0,16080
19968.0,16097
20352.0,16112
20736.0,16127
21120.0,16140
21504.0,16154
21888.0,16166
22272.0,16178
22656.0,16189
23040.0,16200
23424.0,16211
23808.0,16220
24192.0,16230
24576.0,16239
24960.0,16247
25344.0,16255
25728.0,16263
26112.0,16270
26496.0,16277
26880.0,16283
27264.0,16290
27648.0,16295
28032.0,16301
28416.0,16306
28800.0,16311
29184.0,16316
29568.0,16320
29952.0,16325
30336.0,16329
30720.0,16333
31104.0,16336
31488.0,16339
31872.0,16343
32256.0,16346
32640.0,16348
33024.0,16351
33408.0,16354
33792.0,16356
34176.0,16358
34560.0,16360
34944.0,16362
35328.0,16364
35712.0,16366
36096.0,16367
36480.0,16369
36864.0,16370
37248.0,16371
37632.0,16372
38016.0,16373
38400.0,16374
38784.0,16375
39168.0,16376
39552.0,16377
39936.0,16378
40704.0,16379
41472.0,16380
42240.0,16381
43776.0,16382
49152.0,16383
