ppq,val
0.0,0
384.0,3
768.0,7
1152.0,11
1536.0,16
1920.0,20
2304.0,25
2688.0,29
3072.0,34
3456.0,39
3840.0,45
4224.0,50
4608.0,56
4992.0,61
5376.0,67
5760.0,74
6144.0,80
6528.0,87
6912.0,93
7296.0,100
7680.0,108
8064.0,115
8448.0,123
8832.0,131
9216.0,139
9600.0,148
9984.0,156
10368.0,165
10752.0,175
11136.0,184
11520.0,194
11904.0,205
12288.0,215
12672.0,226
13056.0,237
13440.0,249
13824.0,261
14208.0,273
14592.0,286
14976.0,299
15360.0,313
15744.0,327
16128.0,341
16512.0,356
16896.0,371
17280.0,387
17664.0,403
18048.0,420
18432.0,437
18816.0,455
19200.0,473
19584.0,492
19968.0,512
20352.0,532
20736.0,553
21120.0,574
21504.0,597
21888.0,620
22272.0,643
22656.0,668
23040.0,693
23424.0,719
23808.0,746
24192.0,773
24576.0,802
24960.0,831
25344.0,862
25728.0,894
26112.0,926
26496.0,960
26880.0,995
27264.0,1031
27648.0,1069
28032.0,1107
28416.0,1147
28800.0,1189
29184.0,1232
29568.0,1276
29952.0,1322
30336.0,1370
30720.0,1419
31104.0,1471
31488.0,1524
31872.0,1580
32256.0,1637
32640.0,1697
33024.0,1759
33408.0,1824
33792.0,1891
34176.0,1962
34560.0,2035
34944.0,2111
35328.0,2190
35712.0,2274
36096.0,2360
36480.0,2451
36864.0,2546
37248.0,2646
37632.0,2750
38016.0,2859
38400.0,2975
38784.0,3096
39168.0,3223
39552.0,3358
39936.0,3500
40320.0,3650
40704.0,3810
41088.0,3979
41472.0,4159
41856.0,4351
42240.0,4556
42624.0,4776
43008.0,5012
43392.0,5267
43776.0,5542
44160.0,5841
44544.0,6168
44928.0,6527
45312.0,6922
45696.0,7361
46080.0,7853
46464.0,8409
46848.0,9045
47232.0,9779
47616.0,10642
48000.0,11672
48384.0,12924
48768.0,14470
49152.0,16383
