ppq,val
0.0,0
384.0,5
768.0,10
1152.0,15
1536.0,21
1920.0,27
2304.0,33
2688.0,39
3072.0,45
3456.0,52
3840.0,59
4224.0,66
4608.0,73
4992.0,81
5376.0,89
5760.0,97
6144.0,105
6528.0,114
6912.0,123
7296.0,132
7680.0,142
8064.0,151
8448.0,161
8832.0,172
9216.0,183
9600.0,194
9984.0,205
10368.0,217
10752.0,229
11136.0,242
11520.0,255
11904.0,268
12288.0,281
12672.0,296
13056.0,310
13440.0,325
13824.0,340
14208.0,356
14592.0,373
14976.0,389
15360.0,407
15744.0,425
16128.0,443
16512.0,462
16896.0,481
17280.0,501
17664.0,522
18048.0,543
18432.0,565
18816.0,588
19200.0,611
19584.0,635
19968.0,659
20352.0,685
20736.0,711
21120.0,737
21504.0,765
21888.0,794
22272.0,823
22656.0,853
23040.0,885
23424.0,917
23808.0,950
24192.0,984
24576.0,1019
24960.0,1056
25344.0,1093
25728.0,1132
26112.0,1172
26496.0,1213
26880.0,1256
27264.0,1300
27648.0,1345
28032.0,1392
28416.0,1440
28800.0,1490
29184.0,1542
29568.0,1596
29952.0,1651
30336.0,1708
30720.0,1768
31104.0,1829
31488.0,1893
31872.0,1959
32256.0,2027
32640.0,2098
33024.0,2171
33408.0,2248
33792.0,2327
34176.0,2410
34560.0,2495
34944.0,2585
35328.0,2677
35712.0,2774
36096.0,2875
36480.0,2980
36864.0,3090
37248.0,3205
37632.0,3326
38016.0,3451
38400.0,3583
38784.0,3722
39168.0,3867
39552.0,4020
39936.0,4181
40320.0,4351
40704.0,4531
41088.0,4721
41472.0,4922
41856.0,5136
42240.0,5363
42624.0,5606
43008.0,5865
43392.0,6144
43776.0,6444
44160.0,6767
44544.0,7117
44928.0,7499
45312.0,7915
45696.0,8373
46080.0,8880
46464.0,9443
46848.0,10075
47232.0,10789
47616.0,11603
48000.0,12540
48384.0,13627
48768.0,14898
49152.0,16383
