ppq,val
0.0,0
384.0,6
768.0,12
1152.0,19
1536.0,26
1920.0,34
2304.0,41
2688.0,49
3072.0,57
3456.0,66
3840.0,74
4224.0,83
4608.0,93
4992.0,102
5376.0,112
5760.0,123
6144.0,133
6528.0,144
6912.0,156
7296.0,167
7680.0,179
8064.0,192
8448.0,205
8832.0,218
9216.0,231
9600.0,245
9984.0,260
10368.0,275
10752.0,290
11136.0,306
11520.0,322
11904.0,339
12288.0,356
12672.0,374
13056.0,392
13440.0,411
13824.0,430
14208.0,450
14592.0,470
14976.0,491
15360.0,513
15744.0,535
16128.0,558
16512.0,581
16896.0,605
17280.0,630
17664.0,656
18048.0,682
18432.0,709
18816.0,737
19200.0,765
19584.0,795
19968.0,825
20352.0,856
20736.0,888
21120.0,921
21504.0,955
21888.0,990
22272.0,1025
22656.0,1062
23040.0,1100
23424.0,1139
23808.0,1179
24192.0,1221
24576.0,1263
24960.0,1307
25344.0,1352
25728.0,1399
26112.0,1447
26496.0,1496
26880.0,1547
27264.0,1600
27648.0,1654
28032.0,1710
28416.0,1767
28800.0,1827
29184.0,1888
29568.0,1951
29952.0,2016
30336.0,2084
30720.0,2154
31104.0,2226
31488.0,2300
31872.0,2377
32256.0,2457
32640.0,2540
33024.0,2625
33408.0,2714
33792.0,2806
34176.0,2901
34560.0,3000
34944.0,3102
35328.0,3209
35712.0,3320
36096.0,3435
36480.0,3555
36864.0,3680
37248.0,3810
37632.0,3946
38016.0,4087
38400.0,4235
38784.0,4390
39168.0,4553
39552.0,4723
39936.0,4901
40320.0,5089
40704.0,5286
41088.0,5494
41472.0,5714
41856.0,5946
42240.0,6191
42624.0,6452
43008.0,6729
43392.0,7024
43776.0,7340
44160.0,7678
44544.0,8041
44928.0,8432
45312.0,8856
45696.0,9315
46080.0,9816
46464.0,10365
46848.0,10969
47232.0,11637
47616.0,12381
48000.0,13211
48384.0,14145
48768.0,15196
49152.0,16383
