ppq,val
0.0,0
384.0,17
768.0,36
1152.0,56
1536.0,77
1920.0,98
2304.0,121
2688.0,144
3072.0,169
3456.0,194
3840.0,221
4224.0,248
4608.0,276
4992.0,306
5376.0,336
5760.0,367
6144.0,400
6528.0,433
6912.0,468
7296.0,504
7680.0,540
8064.0,578
8448.0,617
8832.0,657
9216.0,698
9600.0,740
9984.0,784
10368.0,828
10752.0,874
11136.0,921
11520.0,969
11904.0,1018
12288.0,1069
12672.0,1121
13056.0,1174
13440.0,1228
13824.0,1283
14208.0,1340
14592.0,1398
14976.0,1458
15360.0,1519
15744.0,1581
16128.0,1644
16512.0,1709
16896.0,1776
17280.0,1844
17664.0,1913
18048.0,1983
18432.0,2056
18816.0,2129
19200.0,2204
19584.0,2281
19968.0,2359
20352.0,2439
20736.0,2521
21120.0,2604
21504.0,2689
21888.0,2775
22272.0,2863
22656.0,2953
23040.0,3045
23424.0,3138
23808.0,3233
24192.0,3330
24576.0,3429
24960.0,3530
25344.0,3632
25728.0,3737
26112.0,3843
26496.0,3952
26880.0,4063
27264.0,4176
27648.0,4290
28032.0,4407
28416.0,4527
28800.0,4648
29184.0,4772
29568.0,4898
29952.0,5026
30336.0,5157
30720.0,5290
31104.0,5426
31488.0,5564
31872.0,5705
32256.0,5849
32640.0,5995
33024.0,6144
33408.0,6296
33792.0,6451
34176.0,6608
34560.0,6769
34944.0,6933
35328.0,7100
35712.0,7270
36096.0,7444
36480.0,7621
36864.0,7802
37248.0,7986
37632.0,8174
38016.0,8366
38400.0,8561
38784.0,8761
39168.0,8965
39552.0,9173
39936.0,9385
40320.0,9602
40704.0,9824
41088.0,10051
41472.0,10282
41856.0,10519
42240.0,10761
42624.0,11009
43008.0,11263
43392.0,11523
43776.0,11789
44160.0,12061
44544.0,12341
44928.0,12627
45312.0,12922
45696.0,13224
46080.0,13534
46464.0,13853
46848.0,14182
47232.0,14520
47616.0,14869
48000.0,15228
48384.0,15600
48768.0,15984
49152.0,16383
