ppq,val
0.0,0
384.0,1
768.0,3
1152.0,5
1536.0,7
1920.0,9
2304.0,11
2688.0,13
3072.0,15
3456.0,18
3840.0,20
4224.0,23
4608.0,25
4992.0,28
5376.0,31
5760.0,34
6144.0,37
6528.0,40
6912.0,43
7296.0,46
7680.0,50
8064.0,53
8448.0,57
8832.0,61
9216.0,65
9600.0,69
9984.0,73
10368.0,78
10752.0,83
11136.0,87
11520.0,92
11904.0,98
12288.0,103
12672.0,108
13056.0,114
13440.0,120
13824.0,126
14208.0,133
14592.0,140
14976.0,147
15360.0,154
15744.0,161
16128.0,169
16512.0,177
16896.0,185
17280.0,194
17664.0,203
18048.0,212
18432.0,222
18816.0,232
19200.0,242
19584.0,253
19968.0,264
20352.0,276
20736.0,288
21120.0,300
21504.0,313
21888.0,326
22272.0,340
22656.0,355
23040.0,370
23424.0,385
23808.0,401
24192.0,418
24576.0,435
24960.0,453
25344.0,472
25728.0,491
26112.0,512
26496.0,533
26880.0,555
27264.0,577
27648.0,601
28032.0,625
28416.0,651
28800.0,677
29184.0,705
29568.0,734
29952.0,764
30336.0,795
30720.0,827
31104.0,861
31488.0,897
31872.0,933
32256.0,972
32640.0,1012
33024.0,1054
33408.0,1098
33792.0,1143
34176.0,1191
34560.0,1241
34944.0,1294
35328.0,1349
35712.0,1407
36096.0,1467
36480.0,1531
36864.0,1598
37248.0,1668
37632.0,1742
38016.0,1820
38400.0,1903
38784.0,1990
39168.0,2082
39552.0,2180
39936.0,2283
40320.0,2393
40704.0,2511
41088.0,2636
41472.0,2770
41856.0,2913
42240.0,3067
42624.0,3233
43008.0,3412
43392.0,3607
43776.0,3819
44160.0,4051
44544.0,4306
44928.0,4589
45312.0,4904
45696.0,5259
46080.0,5662
46464.0,6126
46848.0,6671
47232.0,7322
47616.0,8126
48000.0,9160
48384.0,10578
48768.0,12728
49152.0,16383
