ppq,val
0.0,0
384.0,66
768.0,138
1152.0,214
1536.0,294
1920.0,378
2304.0,466
2688.0,557
3072.0,652
3456.0,749
3840.0,850
4224.0,953
4608.0,1058
4992.0,1166
5376.0,1277
5760.0,1389
6144.0,1503
6528.0,1620
6912.0,1738
7296.0,1858
7680.0,1979
8064.0,2102
8448.0,2227
8832.0,2353
9216.0,2480
9600.0,2609
9984.0,2739
10368.0,2870
10752.0,3002
11136.0,3135
11520.0,3270
11904.0,3405
12288.0,3541
12672.0,3678
13056.0,3816
13440.0,3955
13824.0,4095
14208.0,4235
14592.0,4376
14976.0,4517
15360.0,4660
15744.0,4803
16128.0,4946
16512.0,5090
16896.0,5235
17280.0,5380
17664.0,5525
18048.0,5671
18432.0,5817
18816.0,5964
19200.0,6111
19584.0,6258
19968.0,6405
20352.0,6553
20736.0,6701
21120.0,6850
21504.0,6998
21888.0,7147
22272.0,7296
22656.0,7445
23040.0,7594
23424.0,7743
23808.0,7892
24192.0,8042
24576.0,8191
24960.0,8340
25344.0,8490
25728.0,8639
26112.0,8788
26496.0,8937
26880.0,9086
27264.0,9235
27648.0,9384
28032.0,9532
28416.0,9681
28800.0,9829
29184.0,9977
29568.0,10124
29952.0,10271
30336.0,10418
30720.0,10565
31104.0,10711
31488.0,10857
31872.0,11002
32256.0,11147
32640.0,11292
33024.0,11436
33408.0,11579
33792.0,11722
34176.0,11865
34560.0,12006
34944.0,12147
35328.0,12287
35712.0,12427
36096.0,12566
36480.0,12704
36864.0,12841
37248.0,12977
37632.0,13112
38016.0,13247
38400.0,13380
38784.0,13512
39168.0,13643
39552.0,13773
39936.0,13902
40320.0,14029
40704.0,14155
41088.0,14280
41472.0,14403
41856.0,14524
42240.0,14644
42624.0,14762
43008.0,14879
43392.0,14993
43776.0,15105
44160.0,15216
44544.0,15324
44928.0,15429
45312.0,15532
45696.0,15633
46080.0,15730
46464.0,15825
46848.0,15916
47232.0,16004
47616.0,16088
48000.0,16168
48384.0,16244
48768.0,16316
49152.0,16383
