ppq,val
0.0,0
384.0,1912
768.0,3458
1152.0,4710
1536.0,5740
1920.0,6603
2304.0,7337
2688.0,7973
3072.0,8529
3456.0,9021
3840.0,9460
4224.0,9855
4608.0,10214
4992.0,10541
5376.0,10840
5760.0,11115
6144.0,11370
6528.0,11606
6912.0,11826
7296.0,12031
7680.0,12223
8064.0,12403
8448.0,12572
8832.0,12732
9216.0,12882
9600.0,13024
9984.0,13159
10368.0,13286
10752.0,13407
11136.0,13523
11520.0,13632
11904.0,13736
12288.0,13836
12672.0,13931
13056.0,14022
13440.0,14108
13824.0,14192
14208.0,14271
14592.0,14347
14976.0,14420
15360.0,14491
15744.0,14558
16128.0,14623
16512.0,14685
16896.0,14745
17280.0,14802
17664.0,14858
18048.0,14911
18432.0,14963
18816.0,15012
19200.0,15060
19584.0,15106
19968.0,15150
20352.0,15193
20736.0,15235
21120.0,15275
21504.0,15313
21888.0,15351
22272.0,15387
22656.0,15422
23040.0,15456
23424.0,15488
23808.0,15520
24192.0,15551
24576.0,15580
24960.0,15609
25344.0,15636
25728.0,15663
26112.0,15689
26496.0,15714
26880.0,15739
27264.0,15762
27648.0,15785
28032.0,15808
28416.0,15829
28800.0,15850
29184.0,15870
29568.0,15890
29952.0,15909
30336.0,15927
30720.0,15945
31104.0,15962
31488.0,15979
31872.0,15995
32256.0,16011
32640.0,16026
33024.0,16041
33408.0,16055
33792.0,16069
34176.0,16083
34560.0,16096
34944.0,16109
35328.0,16121
35712.0,16133
36096.0,16145
36480.0,16156
36864.0,16167
37248.0,16177
37632.0,16188
38016.0,16198
38400.0,16207
38784.0,16217
39168.0,16226
39552.0,16234
39936.0,16243
40320.0,16251
40704.0,16259
41088.0,16267
41472.0,16274
41856.0,16282
42240.0,16289
42624.0,16295
43008.0,16302
43392.0,16308
43776.0,16315
44160.0,16321
44544.0,16326
44928.0,16332
45312.0,16337
45696.0,16343
46080.0,16348
46464.0,16353
46848.0,16357
47232.0,16362
47616.0,16366
48000.0,16371
48384.0,16375
48768.0,16379
49152.0,16383
