ppq,val
0.0,0
384.0,28
768.0,58
1152.0,89
1536.0,123
1920.0,158
2304.0,194
2688.0,232
3072.0,272
3456.0,314
3840.0,357
4224.0,402
4608.0,448
4992.0,496
5376.0,546
5760.0,597
6144.0,650
6528.0,705
6912.0,761
7296.0,818
7680.0,878
8064.0,938
8448.0,1001
8832.0,1065
9216.0,1131
9600.0,1198
9984.0,1267
10368.0,1337
10752.0,1409
11136.0,1482
11520.0,1557
11904.0,1634
12288.0,1712
12672.0,1792
13056.0,1873
13440.0,1956
13824.0,2040
14208.0,2126
14592.0,2213
14976.0,2302
15360.0,2393
15744.0,2485
16128.0,2578
16512.0,2673
16896.0,2770
17280.0,2868
17664.0,2967
18048.0,3068
18432.0,3171
18816.0,3275
19200.0,3381
19584.0,3488
19968.0,3597
20352.0,3707
20736.0,3819
21120.0,3932
21504.0,4046
21888.0,4163
22272.0,4280
22656.0,4399
23040.0,4520
23424.0,4642
23808.0,4766
24192.0,4891
24576.0,5018
24960.0,5146
25344.0,5276
25728.0,5407
26112.0,5540
26496.0,5674
26880.0,5810
27264.0,5947
27648.0,6085
28032.0,6226
28416.0,6367
28800.0,6510
29184.0,6655
29568.0,6801
29952.0,6949
30336.0,7098
30720.0,7249
31104.0,7401
31488.0,7555
31872.0,7710
32256.0,7867
32640.0,8025
33024.0,8185
33408.0,8347
33792.0,8510
34176.0,8674
34560.0,8840
34944.0,9008
35328.0,9177
35712.0,9347
36096.0,9520
36480.0,9693
36864.0,9869
37248.0,10046
37632.0,10224
38016.0,10404
38400.0,10586
38784.0,10770
39168.0,10954
39552.0,11141
39936.0,11329
40320.0,11519
40704.0,11711
41088.0,11904
41472.0,12099
41856.0,12296
42240.0,12494
42624.0,12694
43008.0,12896
43392.0,13100
43776.0,13305
44160.0,13512
44544.0,13721
44928.0,13932
45312.0,14145
45696.0,14359
46080.0,14576
46464.0,14794
46848.0,15015
47232.0,15238
47616.0,15462
48000.0,15689
48384.0,15918
48768.0,16149
49152.0,16383
