ppq,val
0.0,0
384.0,13
768.0,26
1152.0,41
1536.0,56
1920.0,71
2304.0,87
2688.0,104
3072.0,122
3456.0,140
3840.0,159
4224.0,178
4608.0,199
4992.0,220
5376.0,241
5760.0,264
6144.0,287
6528.0,310
6912.0,335
7296.0,361
7680.0,387
8064.0,414
8448.0,441
8832.0,470
9216.0,499
9600.0,530
9984.0,561
10368.0,593
10752.0,626
11136.0,660
11520.0,694
11904.0,730
12288.0,766
12672.0,804
13056.0,843
13440.0,882
13824.0,923
14208.0,964
14592.0,1007
14976.0,1050
15360.0,1095
15744.0,1141
16128.0,1188
16512.0,1236
16896.0,1286
17280.0,1336
17664.0,1388
18048.0,1441
18432.0,1495
18816.0,1551
19200.0,1608
19584.0,1666
19968.0,1725
20352.0,1786
20736.0,1849
21120.0,1913
21504.0,1978
21888.0,2045
22272.0,2113
22656.0,2183
23040.0,2255
23424.0,2328
23808.0,2403
24192.0,2480
24576.0,2559
24960.0,2639
25344.0,2721
25728.0,2806
26112.0,2892
26496.0,2980
26880.0,3070
27264.0,3162
27648.0,3257
28032.0,3353
28416.0,3453
28800.0,3554
29184.0,3658
29568.0,3764
29952.0,3873
30336.0,3984
30720.0,4098
31104.0,4215
31488.0,4335
31872.0,4458
32256.0,4584
32640.0,4712
33024.0,4845
33408.0,4980
33792.0,5119
34176.0,5262
34560.0,5408
34944.0,5558
35328.0,5712
35712.0,5871
36096.0,6033
36480.0,6200
36864.0,6372
37248.0,6548
37632.0,6729
38016.0,6916
38400.0,7108
38784.0,7305
39168.0,7509
39552.0,7718
39936.0,7934
40320.0,8157
40704.0,8387
41088.0,8624
41472.0,8869
41856.0,9122
42240.0,9384
42624.0,9655
43008.0,9935
43392.0,10226
43776.0,10527
44160.0,10839
44544.0,11164
44928.0,11501
45312.0,11853
45696.0,12218
46080.0,12600
46464.0,12998
46848.0,13415
47232.0,13850
47616.0,14307
48000.0,14787
48384.0,15291
48768.0,15822
49152.0,16383
