ppq,val
0.0,0
384.0,280
768.0,556
1152.0,827
1536.0,1093
1920.0,1354
2304.0,1612
2688.0,1865
3072.0,2115
3456.0,2361
3840.0,2603
4224.0,2842
4608.0,3077
4992.0,3309
5376.0,3538
5760.0,3764
6144.0,3987
6528.0,4206
6912.0,4423
7296.0,4637
7680.0,4848
8064.0,5057
8448.0,5263
8832.0,5466
9216.0,5666
9600.0,5864
9984.0,6060
10368.0,6253
10752.0,6444
11136.0,6632
11520.0,6819
11904.0,7002
12288.0,7184
12672.0,7363
13056.0,7540
13440.0,7715
13824.0,7888
14208.0,8058
14592.0,8227
14976.0,8393
15360.0,8557
15744.0,8720
16128.0,8880
16512.0,9038
16896.0,9195
17280.0,9349
17664.0,9501
18048.0,9652
18432.0,9800
18816.0,9947
19200.0,10092
19584.0,10235
19968.0,10376
20352.0,10515
20736.0,10652
21120.0,10788
21504.0,10922
21888.0,11054
22272.0,11184
22656.0,11313
23040.0,11439
23424.0,11564
23808.0,11687
24192.0,11809
24576.0,11929
24960.0,12047
25344.0,12164
25728.0,12278
26112.0,12392
26496.0,12503
26880.0,12613
27264.0,12721
27648.0,12828
28032.0,12933
28416.0,13036
28800.0,13138
29184.0,13238
29568.0,13336
29952.0,13433
30336.0,13529
30720.0,13622
31104.0,13715
31488.0,13805
31872.0,13895
32256.0,13982
32640.0,14068
33024.0,14153
33408.0,14236
33792.0,14317
34176.0,14397
34560.0,14475
34944.0,14552
35328.0,14628
35712.0,14702
36096.0,14774
36480.0,14845
36864.0,14915
37248.0,14983
37632.0,15049
38016.0,15114
38400.0,15178
38784.0,15240
39168.0,15301
39552.0,15360
39936.0,15418
40320.0,15474
40704.0,15529
41088.0,15583
41472.0,15635
41856.0,15686
42240.0,15735
42624.0,15783
43008.0,15829
43392.0,15874
43776.0,15918
44160.0,15960
44544.0,16001
44928.0,16040
45312.0,16078
45696.0,16115
46080.0,16150
46464.0,16184
46848.0,16216
47232.0,16248
47616.0,16277
48000.0,16306
48384.0,16333
48768.0,16358
49152.0,16383
