ppq,val
0.0,0
384.0,24
768.0,49
1152.0,76
1536.0,105
1920.0,134
2304.0,166
2688.0,198
3072.0,232
3456.0,267
3840.0,304
4224.0,342
4608.0,381
4992.0,422
5376.0,464
5760.0,508
6144.0,553
6528.0,599
6912.0,647
7296.0,696
7680.0,747
8064.0,799
8448.0,853
8832.0,908
9216.0,964
9600.0,1022
9984.0,1081
10368.0,1142
10752.0,1204
11136.0,1268
11520.0,1333
11904.0,1399
12288.0,1467
12672.0,1537
13056.0,1608
13440.0,1680
13824.0,1754
14208.0,1830
14592.0,1907
14976.0,1985
15360.0,2065
15744.0,2146
16128.0,2229
16512.0,2314
16896.0,2400
17280.0,2487
17664.0,2577
18048.0,2667
18432.0,2760
18816.0,2853
19200.0,2949
19584.0,3046
19968.0,3144
20352.0,3244
20736.0,3346
21120.0,3449
21504.0,3554
21888.0,3661
22272.0,3769
22656.0,3879
23040.0,3990
23424.0,4104
23808.0,4218
24192.0,4335
24576.0,4453
24960.0,4573
25344.0,4695
25728.0,4818
26112.0,4943
26496.0,5069
26880.0,5198
27264.0,5328
27648.0,5460
28032.0,5594
28416.0,5730
28800.0,5867
29184.0,6006
29568.0,6147
29952.0,6290
30336.0,6435
30720.0,6582
31104.0,6730
31488.0,6881
31872.0,7033
32256.0,7187
32640.0,7344
33024.0,7502
33408.0,7662
33792.0,7825
34176.0,7989
34560.0,8155
34944.0,8324
35328.0,8494
35712.0,8667
36096.0,8842
36480.0,9019
36864.0,9198
37248.0,9380
37632.0,9563
38016.0,9750
38400.0,9938
38784.0,10129
39168.0,10322
39552.0,10518
39936.0,10716
40320.0,10916
40704.0,11119
41088.0,11325
41472.0,11534
41856.0,11745
42240.0,11959
42624.0,12176
43008.0,12395
43392.0,12618
43776.0,12844
44160.0,13073
44544.0,13305
44928.0,13540
45312.0,13779
45696.0,14021
46080.0,14267
46464.0,14517
46848.0,14770
47232.0,15028
47616.0,15289
48000.0,15555
48384.0,15826
48768.0,16102
49152.0,16383
