ppq,val
0.0,0
384.0,9
768.0,19
1152.0,29
1536.0,39
1920.0,50
2304.0,62
2688.0,73
3072.0,86
3456.0,98
3840.0,112
4224.0,125
4608.0,139
4992.0,154
5376.0,169
5760.0,184
6144.0,200
6528.0,217
6912.0,234
7296.0,252
7680.0,270
8064.0,289
8448.0,308
8832.0,328
9216.0,348
9600.0,370
9984.0,391
10368.0,414
10752.0,437
11136.0,460
11520.0,484
11904.0,509
12288.0,535
12672.0,562
13056.0,589
13440.0,616
13824.0,645
14208.0,675
14592.0,705
14976.0,736
15360.0,767
15744.0,800
16128.0,834
16512.0,868
16896.0,903
17280.0,940
17664.0,977
18048.0,1015
18432.0,1054
18816.0,1095
19200.0,1136
19584.0,1178
19968.0,1222
20352.0,1266
20736.0,1312
21120.0,1359
21504.0,1407
21888.0,1457
22272.0,1508
22656.0,1560
23040.0,1613
23424.0,1668
23808.0,1725
24192.0,1782
24576.0,1842
24960.0,1903
25344.0,1965
25728.0,2030
26112.0,2096
26496.0,2163
26880.0,2233
27264.0,2305
27648.0,2378
28032.0,2454
28416.0,2531
28800.0,2611
29184.0,2693
29568.0,2778
29952.0,2865
30336.0,2954
30720.0,3046
31104.0,3141
31488.0,3238
31872.0,3339
32256.0,3442
32640.0,3549
33024.0,3659
33408.0,3772
33792.0,3889
34176.0,4010
34560.0,4134
34944.0,4263
35328.0,4395
35712.0,4533
36096.0,4675
36480.0,4821
36864.0,4974
37248.0,5131
37632.0,5294
38016.0,5463
38400.0,5639
38784.0,5821
39168.0,6010
39552.0,6207
39936.0,6412
40320.0,6625
40704.0,6848
41088.0,7079
41472.0,7322
41856.0,7575
42240.0,7840
42624.0,8117
43008.0,8409
43392.0,8714
43776.0,9036
44160.0,9375
44544.0,9733
44928.0,10111
45312.0,10512
45696.0,10937
46080.0,11389
46464.0,11870
46848.0,12385
47232.0,12935
47616.0,13525
48000.0,14160
48384.0,14844
48768.0,15583
49152.0,16383
