ppq,val
0.0,0
5760.0,1
7296.0,2
8064.0,3
8832.0,4
9600.0,5
9984.0,6
10368.0,7
10752.0,8
11136.0,9
11520.0,10
11904.0,11
12288.0,12
12672.0,13
13056.0,15
13440.0,16
13824.0,18
14208.0,20
14592.0,22
14976.0,24
15360.0,26
15744.0,28
16128.0,31
16512.0,34
16896.0,36
17280.0,39
17664.0,43
18048.0,46
18432.0,49
18816.0,53
19200.0,57
19584.0,62
19968.0,66
20352.0,71
20736.0,76
21120.0,81
21504.0,87
21888.0,92
22272.0,99
22656.0,105
23040.0,112
23424.0,119
23808.0,127
24192.0,135
24576.0,143
24960.0,152
25344.0,162
25728.0,171
26112.0,182
26496.0,193
26880.0,204
27264.0,216
27648.0,228
28032.0,242
28416.0,255
28800.0,270
29184.0,285
29568.0,302
29952.0,318
30336.0,336
30720.0,355
31104.0,375
31488.0,395
31872.0,417
32256.0,440
32640.0,464
33024.0,489
33408.0,515
33792.0,543
34176.0,573
34560.0,604
34944.0,637
35328.0,671
35712.0,708
36096.0,746
36480.0,787
36864.0,830
37248.0,875
37632.0,923
38016.0,974
38400.0,1028
38784.0,1086
39168.0,1147
39552.0,1212
39936.0,1281
40320.0,1355
40704.0,1434
41088.0,1518
41472.0,1609
41856.0,1706
42240.0,1811
42624.0,1925
43008.0,2047
43392.0,2181
43776.0,2327
44160.0,2487
44544.0,2662
44928.0,2857
45312.0,3074
45696.0,3318
46080.0,3595
46464.0,3912
46848.0,4283
47232.0,4725
47616.0,5266
48000.0,5959
48384.0,6911
48768.0,8438
49152.0,16383
